Folder,Timestamp,Num_Lives,Learning_Rate,Beta_Softmax,Gamma_Discount_Factor,Reward_Predator,Reward_Prey,Environment_Type,Num_Predators,Num_Prey,Runtime_Minutes
/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H1_M9_S16,2024-04-20 01:09:16,3,0.2,1.0,0.9,-10,5,HOMOGENEOUS,3,3,5
/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H1_M16_S50,2024-04-20 01:16:50,3,0.2,1.0,0.9,-10,5,HOMOGENEOUS,3,3,5
/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H1_M23_S2,2024-04-20 01:23:02,3,0.2,1.0,0.9,-10,5,HOMOGENEOUS,3,3,5
/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H1_M47_S13,2024-04-20 01:47:13,3,0.2,1.0,0.9,-10,5,HOMOGENEOUS,3,3,5
/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H1_M58_S53,2024-04-20 01:58:53,3,0.2,1.0,0.9,-10,5,HOMOGENEOUS,3,3,5
/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H15_M49_S56,2024-04-20 15:49:56,3,0.2,1.0,0.9,-10,5,HOMOGENEOUS,3,1,5
/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H15_M56_S0,2024-04-20 15:56:00,3,0.2,1.0,0.9,-10,5,HOMOGENEOUS,3,1,5
/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H16_M2_S5,2024-04-20 16:02:05,3,0.2,1.0,0.9,-10,5,HOMOGENEOUS,3,1,5
/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H16_M8_S43,2024-04-20 16:08:43,3,0.2,1.0,0.9,-10,5,HOMOGENEOUS,3,1,5
/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H16_M15_S24,2024-04-20 16:15:24,3,0.2,1.0,0.9,-10,5,HOMOGENEOUS,3,1,5
/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H16_M24_S8,2024-04-20 16:24:08,3,0.2,1.0,0.9,-10,5,HOMOGENEOUS,1,3,5
/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H16_M33_S16,2024-04-20 16:33:16,3,0.2,1.0,0.9,-10,5,HOMOGENEOUS,1,3,5
